,date,morning,night,food0,food1,food2,food3,food4,food5,food6,food7,food8,food9,alcohol,vegetables,fruits,fats,starches
146,2016-05-20 00:00:00,187.0,190.0,Apple/Orange,,,Broccoli/Green Beans Red Peppers/Salad/Spicy Teriyaki Chicken,,,,Lamb Deluxe/Fries/Dragon Sauce,,,6.0,2.5,2.0,2.5,1.5
147,2016-05-21 00:00:00,187.0,189.0,Apple/Orange/Roast Beef,,,Carrots Hummus/Chips Salsa,,,,Pasta Tomato Sauce,Spinach Arugula Salad/Carrots Hummus,Peanut Butter,0.0,3.0,2.0,1.5,2.0
148,2016-05-22 00:00:00,187.0,188.0,Apple/Orange,,,Popcorn/Pork/Brown Rice/Salad/Bite of dessert,,,Carrots/Hummus,Spinach Arugula Orange Salad/Pasta Tomato Sauce,,Peanut Butter,0.0,3.0,3.5,2.0,2.5
149,2016-05-23 00:00:00,187.0,188.0,Fruit/Eggs,,,Potbelly Sandwich,,,,Spinach Arugula Apple Salad/Broccoli,Chips Salsa,,1.0,2.0,2.0,2.0,2.0
150,2016-05-24 00:00:00,186.0,190.0,Apple/Orange/Roast Beef,,,Pasta Tomato Sauce/Broccoli Hummus,,,,Spinach Salad/Cherry Tomatoes/Strawberries/Blueberries/Half Waffle,,Chips Salsa,0.0,2.0,3.5,1.0,2.5
151,2016-05-25 00:00:00,187.0,186.0,Apple/Orange,,,Pasta Tomato Sauce/Broccoli Hummus,,,,Spring Mix/Drumstick,,Drumstick,0.0,2.0,2.25,1.0,0.25
152,2016-05-26 00:00:00,185.0,186.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,,,,Pho,,,1.0,2.5,2.0,1.0,1.0
153,2016-05-27 00:00:00,185.0,188.0,Apple/Banana/Yogurt,,,Veggies/Ranch/Roasted Chicken/Salad,,,,Veggies/Ranch/Crackers Cheese/Berries/Olives,,Polish Sausage/Cream Cheese/Jalapenos,4.0,4.0,2.0,2.5,1.25
154,2016-05-28 00:00:00,186.0,,Whole Wheat English Muffin Egg Cheddar Sandwich,,Carrots,Steak Tacos,Beef Jerky,,Crackers Olive Dip/Carrots/Deep Fried Artichoke Creamy Dip,Fish/Corn/Salad,,,4.5,2.25,0.0,3.0,3.0
155,2016-05-29 00:00:00,,,Carrots/Pancakes/Eggs/Sausage/Orange/Strawberries/Blueberries,,Mocha,Chips Guacamole,,,,Veggies/Ranch/Lettuce Burger,,,5.0,3.0,1.5,3.0,2.0
156,2016-05-30 00:00:00,,188.0,Chips Salsa,,Mocha,Chips Salsa/Peppers,,,,Spinach Arugula Apple Salad,Chips Salsa,,0.0,2.0,2.0,1.0,2.5
157,2016-05-31 00:00:00,187.0,187.0,Ham & Cheese Croissant,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Pasta/Lasagna/Spinach Salad,,,0.0,3.0,0.0,2.0,2.0
158,2016-06-01 00:00:00,185.0,186.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Spinach Arugula Salad/Chicken Peanut Sauce,Chipotle Chicken Corn Chowder,Peanut Butter,0.0,3.5,2.0,2.5,0.5
